Stock Name,Symbol
Aarti Industries Limited,AARTIIND
Abb India Limited,ABB
Abbott India Limited,ABBOTINDIA
Aditya Birla Capital Ltd,ABCAPITAL
Aditya Birla Fashion And Retail Limited,ABFRL
Acc Limited,ACC
Adani Enterprises Limited,ADANIENT
Adani Ports And Special Economic Zone Limited,ADANIPORTS
Alkem Laboratories Limited,ALKEM
Ambuja Cements Limited,AMBUJACEM
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Apollo Tyres Limited,APOLLOTYRE
Ashok Leyland Limited,ASHOKLEY
Asian Paints Limited,ASIANPAINT
Astral Poly Technik Limited,ASTRAL
Atul Limited,ATUL
AU Small Finance Bank,AUBANK
Aurobindo Pharma Limited,AUROPHARMA
Axis Bank Limited,AXISBANK
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Finserv Limited,BAJAJFINSV
Bajaj Finance Limited,BAJFINANCE
Balkrishna Industries Limited,BALKRISIND
Balrampur Chini Mills Limited,BALRAMCHIN
Bandhan Bank Ltd,BANDHANBNK
Bank Of Baroda,BANKBARODA
Bata India Limited,BATAINDIA
Bharat Electronics Limited,BEL
Berger Paints Limited,BERGEPAINT
Bharat Forge Limited,BHARATFORG
Bharti Airtel Limited,BHARTIARTL
Bharat Heavy Electricals Limited,BHEL
Biocon Limited,BIOCON
Bosch Limited,BOSCHLTD
Bharat Petroleum Corporation Limited,BPCL
Britannia Industries Limited,BRITANNIA
Birlasoft Ltd,BSOFT
Canara Bank,CANBK
Can Fin Homes Limited,CANFINHOME
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
Cholamandalam Investment And Finance Company Limited,CHOLAFIN
Cipla Limited,CIPLA
Coal India Limited,COALINDIA
Coforge (Niit Tech),COFORGE
Colgate Palmolive (india) Limited,COLPAL
Container Corporation Of India Limited,CONCOR
Coromandel International Limited,COROMANDEL
Crompton Greaves Consumer Electricals Limited,CROMPTON
City Union Bank Limited,CUB
Cummins India Limited,CUMMINSIND
Dabur India Limited,DABUR
Dalmia Bharat Limited,DALBHARAT
Deepak Nitrite Limited,DEEPAKNTR
Delta Corp Limited,DELTACORP
Divi's Laboratories Limited,DIVISLAB
Dixon Technologies,DIXON
Dlf Limited,DLF
Dr. Reddy's Laboratories Limited,DRREDDY
Eicher Motors Limited,EICHERMOT
Escorts Limited,ESCORTS
Exide Industries Limited,EXIDEIND
The Federal Bank  Limited,FEDERALBNK
Gail (india) Limited,GAIL
Glenmark Pharmaceuticals Limited,GLENMARK
Gmr Infrastructure Limited,GMRINFRA
Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC
Godrej Consumer Products Limited,GODREJCP
Godrej Properties Limited,GODREJPROP
Granules India Limited,GRANULES
Grasim Industries Limited,GRASIM
Gujarat Gas Limited,GUJGASLTD
Hindustan Aeronautics Ltd,HAL
Havells India Limited,HAVELLS
Hcl Technologies Limited,HCLTECH
HDFC Asset Management Company Ltd,HDFCAMC
Hdfc Bank Limited,HDFCBANK
HDFC Life Insurance Company Ltd,HDFCLIFE
Hero Motocorp Limited,HEROMOTOCO
Hindalco Industries Limited,HINDALCO
Hindustan Copper Limited,HINDCOPPER
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Icici Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Ltd,ICICIGI
Icici Prudential Life Insurance Company Limited,ICICIPRULI
Idea Cellular Limited,IDEA
Idfc Limited,IDFC
IDFC First Bank Ltd,IDFCFIRSTB
Indian Energy Exchange Ltd,IEX
Indraprastha Gas Limited,IGL
The Indian Hotels Company Limited,INDHOTEL
The India Cements Limited,INDIACEM
Indiamart Intermesh Ltd,INDIAMART
Interglobe Aviation Limited,INDIGO
Indusind Bank Limited,INDUSINDBK
Indus Towers Ltd (Bharti Infratel),INDUSTOWER
Infosys Limited,INFY
Indian Oil Corporation Limited,IOC
Ipca Laboratories Limited,IPCALAB
Indian Railway Catering & Tourism Corporation Ltd,IRCTC
Itc Limited,ITC
Jindal Steel & Power Limited,JINDALSTEL
Jk Cement Limited,JKCEMENT
Jsw Steel Limited,JSWSTEEL
Jubilant Foodworks Limited,JUBLFOOD
Kotak Mahindra Bank Limited,KOTAKBANK
L&t Finance Holdings Limited,L&TFH
Dr. Lal Path Labs Ltd.,LALPATHLAB
Laurus Labs Limited,LAURUSLABS
Lic Housing Finance Limited,LICHSGFIN
Larsen & Toubro Limited,LT
LTI Mindtree Ltd,LTIM
L&t Technology Services Limited,LTTS
Lupin Limited,LUPIN
Mahindra & Mahindra Limited,M&M
Mahindra & Mahindra Financial Services Limited,M&MFIN
Manappuram Finance Limited,MANAPPURAM
Marico Limited,MARICO
Maruti Suzuki India Limited,MARUTI
United Spirits Limited,MCDOWELL-N
Multi Commodity Exchange Of India Limited,MCX
Metropolis Healthcare Ltd,METROPOLIS
Max Financial Services Limited,MFSL
Mahanagar Gas Limited,MGL
Motherson Sumi Systems Limited,MOTHERSON
Mphasis Limited,MPHASIS
Mrf Limited,MRF
Muthoot Finance Limited,MUTHOOTFIN
National Aluminium Company Limited,NATIONALUM
Info Edge (india) Limited,NAUKRI
Navin Fluorine International Limited,NAVINFLUOR
Nestle India Limited,NESTLEIND
Nmdc Limited,NMDC
Ntpc Limited,NTPC
Oberoi Realty Limited,OBEROIRLTY
Oracle Financial Services Software Limited,OFSS
Oil & Natural Gas Corporation Limited,ONGC
Page Industries Limited,PAGEIND
Piramal Enterprises Limited,PEL
Persistent Systems Limited,PERSISTENT
Petronet Lng Limited,PETRONET
Power Finance Corporation Limited,PFC
Pidilite Industries Limited,PIDILITIND
Pi Industries Limited,PIIND
Punjab National Bank,PNB
Polycab India Ltd,POLYCAB
Power Grid Corporation Of India Limited,POWERGRID
PVR Inox Ltd,PVRINOX
The Ramco Cements Limited,RAMCOCEM
Rbl Bank Limited,RBLBANK
Rural Electrification Corporation Limited,RECLTD
Reliance Industries Limited,RELIANCE
Steel Authority Of India Limited,SAIL
SBI Cards & Payment Services Ltd,SBICARD
SBI Life Insurance Company Ltd,SBILIFE
State Bank Of India,SBIN
Shree Cements Limited,SHREECEM
Shriram Finance Ltd,SHRIRAMFIN
Siemens Limited,SIEMENS
Srf Limited,SRF
Sun Pharmaceuticals Industries Limited,SUNPHARMA
Sun Tv Network Limited,SUNTV
Syngene International Limited,SYNGENE
Tata Chemicals Limited,TATACHEM
Tata Communications Limited,TATACOMM
TATA Consumer Products Ltd,TATACONSUM
Tata Motors Limited,TATAMOTORS
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tata Consultancy Services Limited,TCS
Tech Mahindra Limited,TECHM
Titan Company Limited,TITAN
Torrent Pharmaceuticals Limited,TORNTPHARM
Trent Limited,TRENT
Tvs Motor Company Limited,TVSMOTOR
United Breweries Limited,UBL
Ultratech Cement Limited,ULTRACEMCO
Upl Limited,UPL
Vedanta Limited,VEDL
Voltas Limited,VOLTAS
Wipro Limited,WIPRO
Zee Entertainment Enterprises Limited,ZEEL
Zydus Lifesciences Ltd,ZYDUSLIFE
